# Expression Atlas
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 2 comparisons  given the adjusted p-value cutoff 0.5 and log2-fold change cutoff 0 in experiment E-PROT-59
# Timestamp: Mon, 15-Dec-2025 20:43:14
Gene ID	Gene Name	'clear cell renal cell carcinoma' vs 'normal' .foldChange	'clear cell renal cell carcinoma' vs 'normal'.pValue	'papillary renal cell carcinoma' vs 'clear cell renal cell carcinoma' .foldChange	'papillary renal cell carcinoma' vs 'clear cell renal cell carcinoma'.pValue
ENSG00000065534	MYLK	0.4	0.132324318		
ENSG00000065809	FAM107B	-0.1	0.21719925	-0.7	0.155310537
ENSG00000065833	ME1			-0.6	0.004292618
ENSG00000066032	CTNNA2	0.3	0.124813021		
ENSG00000066044	ELAVL1	-0.3	1.70513E-4	-0.1	0.499697196
ENSG00000066583	ISOC1	-0.8	0.0089321		
ENSG00000066654	THUMPD1			0.2	0.188899467
ENSG00000066813	ACSM2B	2.6	1.0E-10	-1.0	0.129848618
ENSG00000067057	PFKP			1.9	5.19201E-4
ENSG00000067225	PKM	-2.5	1.12E-12	1.1	2.41E-6
ENSG00000067248	DHX29	-0.3	0.024275574	0.3	0.207475769
ENSG00000068120	COASY	0.3	2.54665E-4	-1.4	0.003735043
ENSG00000068366	ACSL4	0.8	0.311142149		
ENSG00000068400	GRIPAP1	1.2	5.21E-5	-1.5	0.006050572
ENSG00000068976	PYGM			-0.5	0.123425589
ENSG00000069275	NUCKS1	-0.7	5.9837E-4	0.6	0.003026417
ENSG00000069329	VPS35			-0.4	0.053096425
ENSG00000069535	MAOB	0.9	4.74769E-4	-0.4	0.351437802
ENSG00000070087	PFN2	1.0	0.038011037	-0.6	0.173226959
ENSG00000070601	FRMPD1	-0.9	7.85E-5	1.6	0.2876369
ENSG00000070756	PABPC1	-2.2	8.83308E-4		
ENSG00000071127	WDR1	-0.2	0.098890529		
ENSG00000072210	ALDH3A2	0.4	0.22615967		
ENSG00000072778	ACADVL	0.8	1.64E-8	-2.1	0.00118659
ENSG00000073578	SDHA	1.6	3.39484E-4	-2.5	5.21E-6
ENSG00000074410	CA12	-1.1	3.36555E-4		
ENSG00000074800	ENO1	-1.2	2.5397E-4	1.0	0.002801343
ENSG00000074842	MYDGF			0.6	0.007160566
ENSG00000075239	ACAT1	2.7	3.63E-8	-3.1	1.07E-8
ENSG00000075415	SLC25A3	1.1	1.42E-6	-2.2	1.99935E-4
ENSG00000075785	RAB7A	0.1	0.311167329	-0.5	0.005620322
ENSG00000076043	REXO2	0.3	0.123642816	0.5	0.038033566
ENSG00000077150	NFKB2	-2.0	2.89E-9	0.7	0.001284701
ENSG00000077549	CAPZB	-1.1	0.025810707	0.9	0.374671025
ENSG00000077942	FBLN1	-0.7	0.049008884		
ENSG00000078114	NEBL	0.4	0.076291638		
ENSG00000078668	VDAC3	0.4	0.05137351	-1.5	0.001880445
ENSG00000079246	XRCC5	-0.6	3.23353E-4	-0.4	0.145125237
ENSG00000079257	LXN	-1.1	2.38703E-4	1.0	0.003037406
ENSG00000079462	PAFAH1B3	-0.3	0.164670986	-0.6	0.155433584
ENSG00000079557	AFM	-0.6	0.227268393		
ENSG00000079739	PGM1	-0.5	0.010386828	0.7	0.099954321
ENSG00000079785	DDX1			-0.3	0.156524948
ENSG00000079819	EPB41L2	-0.4	0.258363757		
ENSG00000080824	HSP90AA1	0.2	0.27363375	-0.8	9.19E-5
ENSG00000081154	PCNP	-0.2	0.07969917		
ENSG00000081181	ARG2	-3.3	0.043454871		
ENSG00000081307	UBA5	-0.7	4.9886E-4		
ENSG00000082212	ME2			0.6	0.032792276
ENSG00000083845	RPS5	-0.7	0.034439972		
ENSG00000084073	ZMPSTE24	-0.6	0.293783796		
ENSG00000084207	GSTP1	-0.5	0.074455373	1.9	0.018172795
ENSG00000084733	RAB10	-0.5	0.023212101		
ENSG00000084754	HADHA	1.0	1.1E-6	-1.6	8.26E-9
ENSG00000085063	CD59			-0.3	0.141196023
ENSG00000085365	SCAMP1	-0.2	0.268197894		
ENSG00000085377	PREP	-0.5	0.036103147		
ENSG00000085449	WDFY1	-0.2	0.11844705		
ENSG00000085662	AKR1B1	-1.0	0.025617458		
ENSG00000085871	MGST2	0.1	0.293947912	-0.2	0.291642972
ENSG00000086061	DNAJA1	-0.7	0.014179035		
ENSG00000087086	FTL	-1.4	0.012502241	-2.1	0.239238602
ENSG00000087088	BAX	-0.6	0.012416728		
ENSG00000087303	NID2	-0.6	9.57386E-4	-0.4	0.018720459
ENSG00000087460	GNAS	-0.2	0.059789248		
ENSG00000087470	DNM1L	0.3	0.07229902	-0.6	0.001820206
ENSG00000087884	AAMDC	0.3	0.439472062		
ENSG00000088325	TPX2	-0.5	1.68E-6	0.4	0.015220423
ENSG00000088682	COQ9	0.9	0.150324596	-2.3	0.056236048
ENSG00000088832	FKBP1A	-1.1	3.27E-11	0.4	0.478572585
ENSG00000088930	XRN2			-1.1	2.25549E-4
ENSG00000089009	RPL6	-1.2	4.31906E-4	-0.4	0.205517278
ENSG00000089157	RPLP0	-0.6	0.003128251	-0.1	0.396558115
ENSG00000089220	PEBP1	0.9	0.017675262		
ENSG00000089248	ERP29	0.5	0.055431333	-0.4	0.110752493
ENSG00000089280	FUS	-0.7	0.046001798		
ENSG00000089597	GANAB	-1.0	0.007549697	1.0	0.178326216
ENSG00000090013	BLVRB	-0.3	0.031431218	-0.2	0.446961083
ENSG00000090621	PABPC4			-1.1	0.014624774
ENSG00000090861	AARS1			-0.3	0.209914884
ENSG00000091164	TXNL1	-0.2	0.056134317	0.1	0.431443152
ENSG00000091483	FH	2.0	1.2E-11	-2.1	0.016251515
ENSG00000091513	TF	-0.2	0.286994352	0.5	0.07906976
ENSG00000092108	SCFD1			-0.9	0.053286649
ENSG00000092199	HNRNPC	-0.3	2.23642E-4	0.2	0.016094166
ENSG00000092621	PHGDH	1.6	0.00777103	-1.1	0.227192139
ENSG00000092841	MYL6	-0.6	2.63771E-4	1.4	8.47E-6
ENSG00000092964	DPYSL2	-1.0	2.22161E-4		
ENSG00000095002	MSH2	-0.4	0.247557505	2.1	2.2E-6
ENSG00000095139	ARCN1	-0.3	0.045983247	0.2	0.192852811
ENSG00000095261	PSMD5	-0.5	0.156533336		
ENSG00000095380	NANS	-0.2	0.25614679	-0.7	0.036977197
ENSG00000096384	HSP90AB1	-0.9	0.01309385	0.4	0.31329223
ENSG00000096401	CDC5L	-0.3	0.235115149		
ENSG00000096696	DSP	1.4	4.42E-13	-0.6	0.118772626
ENSG00000096746	HNRNPH3	-0.6	4.11717E-4	0.4	0.007215931
ENSG00000097021	ACOT7	2.5	4.97E-7	-2.9	1.26E-7
ENSG00000099204	ABLIM1	0.1	0.398863229	-0.5	0.181185934
ENSG00000099256	PRTFDC1	1.2	8.05977E-4	-1.3	7.66312E-4
ENSG00000099622	CIRBP	0.7	0.001371972	-0.9	0.03006129
ENSG00000099624	ATP5F1D	1.3	1.46E-10	-1.9	5.07E-7
ENSG00000099783	HNRNPM	0.7	0.11157028	-1.3	0.001659277
ENSG00000099800	TIMM13	0.9	2.05E-5	-2.0	0.002711832
ENSG00000099901	RANBP1	-1.2	1.6E-8	0.9	0.092051362
ENSG00000099942	CRKL	-0.4	0.00386579		
ENSG00000099998	GGT5	0.9	0.001087744		
ENSG00000100028	SNRPD3	-0.5	0.006485579		
ENSG00000100030	MAPK1	-1.0	2.50835E-4		
ENSG00000100031	GGT1	1.1	0.043195784	0.5	0.32567281
ENSG00000100034	PPM1F	-0.9	3.68946E-4		
ENSG00000100075	SLC25A1	0.3	0.139789484	-0.6	0.01096829
ENSG00000100079	LGALS2	-0.4	0.167159051		
ENSG00000100097	LGALS1	-1.9	9.38E-12	1.3	0.074700093
ENSG00000100138	SNU13	-1.0	1.01317E-4	-0.4	0.437402963
ENSG00000100201	DDX17			0.5	0.342628101
ENSG00000100243	CYB5R3	-1.0	5.49E-8	0.1	0.367038586
ENSG00000100292	HMOX1			-0.5	0.193846788
ENSG00000100345	MYH9	-0.5	0.007869674	1.2	0.006866121
ENSG00000100348	TXN2	1.0	4.63E-7	-1.3	1.14E-6
ENSG00000100353	EIF3D	-0.4	0.114571631	0.2	0.385971986
ENSG00000100360	IFT27			0.2	0.220732259
ENSG00000100380	ST13			0.5	0.118477125
ENSG00000100412	ACO2	1.5	1.16E-7	-2.3	2.72609E-4
ENSG00000100442	FKBP3	-0.1	0.168340135	-0.2	0.090644791
ENSG00000100462	PRMT5			-1.4	0.034578021
ENSG00000100522	GNPNAT1	-0.7	3.57E-5		
ENSG00000100567	PSMA3	-0.6	3.79E-7	0.7	0.001505244
ENSG00000100664	EIF5	-0.5	7.33E-6		
ENSG00000100714	MTHFD1	0.5	0.031438754	-1.0	0.003462557
ENSG00000100764	PSMC1			0.5	0.054872828
ENSG00000100804	PSMB5	1.0	0.045758322	-1.2	0.027422366
ENSG00000100823	APEX1	-0.6	0.310049861		
ENSG00000100979	PLTP			1.6	0.150256224
ENSG00000100983	GSS	0.4	0.008404397	-1.7	0.015162701
ENSG00000100994	PYGB			-0.8	0.007499071
ENSG00000101132	PFDN4	-0.4	0.194933529		
ENSG00000101150	TPD52L2	-1.1	7.61E-6		
ENSG00000101160	CTSZ	0.8	0.002259669	-0.6	0.25127179
ENSG00000101162	TUBB1	-0.3	0.089887177		
ENSG00000101182	PSMA7	-0.6	4.22E-6	0.6	0.004758765
ENSG00000101210	EEF1A2	-0.5	0.011230874	0.5	0.183443817
ENSG00000101220	C20orf27			-0.3	0.315168957
ENSG00000101266	CSNK2A1	-0.4	0.090823008	0.2	0.13021529
ENSG00000101335	MYL9	-0.7	0.007451254		
ENSG00000101347	SAMHD1			-0.3	0.40677485
ENSG00000101367	MAPRE1	-0.4	0.057561038	-0.9	0.175059566
ENSG00000101413	RPRD1B			-0.8	0.002953943
ENSG00000101444	AHCY	0.6	5.57115E-4		
ENSG00000101557	USP14	-0.3	0.00232603	-0.5	3.54067E-4
ENSG00000101558	VAPA	0.4	3.49102E-4	-0.7	0.010774635
ENSG00000101856	PGRMC1	-0.1	0.384140621	1.1	0.002059908
ENSG00000101981	F9	1.3	2.62E-5	-0.4	0.080447564
ENSG00000102007	PLP2	-1.2	0.005180949	-0.5	0.361715342
ENSG00000102119	EMD	-0.5	0.016579181	0.3	0.095287557
ENSG00000102144	PGK1	-1.2	4.82E-7	1.3	3.06E-7
ENSG00000102309	PIN4	-0.5	0.2830757		
ENSG00000102606	ARHGEF7	0.6	0.011637076	-0.6	0.039712033
ENSG00000102763	VWA8			-0.9	1.21362E-4
ENSG00000102804	TSC22D1	-0.8	1.16E-7	0.5	0.014998831
ENSG00000102898	NUTF2	-0.6	2.03576E-4	0.2	0.357318595
ENSG00000103018	CYB5B	1.8	0.021110362	-2.9	0.003094371
ENSG00000103187	COTL1	0.6	0.139721379	0.8	0.00573029
ENSG00000103274	NUBP1			-0.4	0.050298163
ENSG00000103275	UBE2I	-1.0	6.35E-7		
ENSG00000103342	GSPT1			0.8	0.167381447
ENSG00000103363	ELOB	0.7	0.022132603		
ENSG00000103490	PYCARD	-1.5	1.31674E-4		
ENSG00000103507	BCKDK			-0.8	1.10656E-4
ENSG00000103876	FAH	0.9	2.32616E-4	0.7	0.178860755
ENSG00000104131	EIF3J	-0.7	5.55001E-4		
ENSG00000104142	VPS18	-1.0	8.19078E-4	0.9	7.28764E-4
ENSG00000104267	CA2	1.6	1.04E-5	-0.5	0.091063909
ENSG00000104325	DECR1	2.1	2.31E-8	-2.2	0.002932412
ENSG00000104412	EMC2	0.1	0.484528629	-0.5	0.042395249
ENSG00000104419	NDRG1	-1.8	3.09E-11	2.0	2.8E-6
ENSG00000104517	UBR5	0.4	1.02E-6	-0.4	1.87269E-4
ENSG00000104687	GSR	0.8	4.00727E-4	-0.8	0.017037338
ENSG00000104805	NUCB1	-0.6	0.002500765	0.3	0.104526192
ENSG00000104852	SNRNP70	-0.5	0.100466083		
ENSG00000104897	SF3A2	-0.2	0.093711121		
ENSG00000104969	SGTA	-0.5	0.279653867		
ENSG00000104980	TIMM44	0.2	0.361469931	-1.0	0.002883882
ENSG00000105193	RPS16	-0.8	0.068447858		
ENSG00000105197	TIMM50			-0.8	0.002827668
ENSG00000105254	TBCB	-0.8	6.83E-7	0.5	0.035344295
ENSG00000105379	ETFB	1.5	2.91E-10	-1.5	0.00388474
ENSG00000105401	CDC37	-0.4	1.54E-7	0.6	0.179350049
ENSG00000105518	TMEM205	-0.5	0.001075753		
ENSG00000105568	PPP2R1A			-0.2	0.228541078
ENSG00000105612	DNASE2			-0.8	0.090304153
ENSG00000105655	ISYNA1	-0.3	0.353415827	-0.4	0.302643501
ENSG00000105755	ETHE1	0.4	0.179078892	-1.3	1.33266E-4
ENSG00000105835	NAMPT			-0.6	0.239023186
ENSG00000105854	PON2			1.6	0.076040384
ENSG00000105875	WDR91	-0.4	0.009933631	-0.1	0.331645662
ENSG00000106049	HIBADH	1.3	4.11E-8	-1.9	0.015191406
ENSG00000106153	CHCHD2	-0.4	0.164273886	-1.6	8.31E-5
ENSG00000106211	HSPB1	-1.2	8.67E-6	0.8	0.029064471
ENSG00000106244	PDAP1	-0.5	2.6358E-4	0.3	0.022250236
ENSG00000106305	AIMP2	-0.2	0.308992431	-0.4	0.079804042
ENSG00000106399	RPA3			-0.4	0.373889358
ENSG00000106554	CHCHD3	0.9	4.98577E-4	-1.0	3.49189E-4
ENSG00000106588	PSMA2	-0.6	4.45E-5	0.8	0.001714703
ENSG00000106615	RHEB			-0.2	0.296965591
ENSG00000106636	YKT6	-0.9	5.0E-7		
ENSG00000106638	TBL2			0.7	0.087344923
ENSG00000106682	EIF4H	-0.1	0.385994418	0.6	0.010304321
ENSG00000106803	SEC61B	-0.3	0.155061212		
ENSG00000106853	PTGR1	1.4	0.008177085	-0.8	0.077888058
ENSG00000106927	AMBP	0.9	5.58E-5	0.7	0.007949031
ENSG00000106992	AK1	0.5	0.003163299	-0.9	0.042925121
ENSG00000107223	EDF1	-0.5	0.002435817		
ENSG00000107581	EIF3A			-0.4	0.388769684
ENSG00000107611	CUBN	1.3	0.008977528	-0.5	0.278101428
ENSG00000107819	SFXN3			-0.9	0.107694334
ENSG00000108039	XPNPEP1	1.4	3.2E-10	-0.1	0.499183445
ENSG00000108064	TFAM			-0.9	0.362611991
ENSG00000108107	RPL28	-1.3	3.94E-6		
ENSG00000108298	RPL19	-0.8	4.47381E-4	-0.2	0.498182102
ENSG00000108381	ASPA	-0.8	0.020742988		
ENSG00000108424	KPNB1	-0.1	0.26592593		
ENSG00000108465	CDK5RAP3	-0.4	0.019482107		
ENSG00000108468	CBX1			-0.5	0.433343672
ENSG00000108479	GALK1	0.4	0.382291092		
ENSG00000108518	PFN1	-1.2	1.58E-8	0.4	0.028790361
ENSG00000108561	C1QBP	0.8	9.94363E-4	-1.8	0.001643213
ENSG00000108578	BLMH	-0.6	1.41328E-4	0.3	0.019448772
ENSG00000108671	PSMD11	-0.3	0.237671556		
ENSG00000108679	LGALS3BP	-0.3	0.147184897	-1.6	2.69E-6
ENSG00000108828	VAT1	-0.3	0.132960835	-1.0	7.59E-5
ENSG00000108861	DUSP3	-0.2	0.027528555	-0.4	0.209955298
ENSG00000108883	EFTUD2			-0.4	0.39066832
ENSG00000109062	SLC9A3R1	2.5	3.89E-6	-0.8	0.022215866
ENSG00000109072	VTN	0.8	8.3E-5	0.8	1.00153E-4
ENSG00000109107	ALDOC	-1.9	6.47E-7		
ENSG00000109519	GRPEL1	0.5	0.038562325	-1.1	0.017324357
ENSG00000109610	SOD3	0.5	0.030491384	-0.3	0.056415688
ENSG00000109814	UGDH	-0.3	0.357944875	1.9	1.0795E-4
ENSG00000109846	CRYAB	-0.5	0.29924625	-1.4	0.014314704
ENSG00000109854	HTATIP2			-0.7	0.061756547
ENSG00000109861	CTSC	1.0	0.004433985	-1.8	5.48893E-4
ENSG00000109971	HSPA8	-0.1	0.49786376		
ENSG00000110169	HPX			1.4	1.57E-5
ENSG00000110244	APOA4			-0.3	0.200581349
ENSG00000110245	APOC3			1.1	4.96E-5
ENSG00000110651	CD81	-0.7	8.41952E-4	0.4	0.214061546
ENSG00000110700	RPS13	-0.6	0.07974605		
ENSG00000110711	AIP	-0.3	0.051110493	-0.1	0.464695671
ENSG00000110801	PSMD9	0.1	0.338938339		
ENSG00000110955	ATP5F1B	1.3	2.88E-9	-1.7	1.45468E-4
ENSG00000111057	KRT18	-0.4	0.193441898	-0.8	0.173777999
ENSG00000111144	LTA4H	-0.6	9.87422E-4	0.6	0.11481222
ENSG00000111229	ARPC3	-0.5	0.001525531	0.2	0.173024457
ENSG00000111271	ACAD10	0.8	0.001107868	-0.3	0.171007235
ENSG00000111275	ALDH2	2.3	2.19E-8	-2.4	1.75E-7
ENSG00000111481	COPZ1			-0.2	0.335780592
ENSG00000111640	GAPDH	-1.2	2.8E-12	1.0	1.21E-8
ENSG00000111669	TPI1	-1.0	2.57E-8	0.9	2.84E-7
ENSG00000111716	LDHB	1.4	3.63E-13	-0.7	4.04593E-4
ENSG00000111726	CMAS	-0.9	1.82129E-4	0.3	0.432122025
ENSG00000111737	RAB35	-0.3	0.235869406		
ENSG00000111785	RIC8B	0.7	0.264980476	0.8	0.386709177
ENSG00000111786	SRSF9			0.5	0.330037051
ENSG00000111906	HDDC2	-0.5	0.009844545		
ENSG00000112081	SRSF3	-0.6	1.06E-8	0.2	0.380260718
ENSG00000112096	SOD2	-0.5	0.12810051	-1.0	0.276549581
ENSG00000112118	MCM3			0.5	0.247782405
ENSG00000112208	BAG2			1.1	0.004571935
ENSG00000112304	ACOT13	2.1	1.47E-9	-1.3	0.028260536
ENSG00000112306	RPS12	-0.4	0.022512342		
ENSG00000112335	SNX3	0.4	0.006105034	0.5	0.140190554
ENSG00000112667	DNPH1	0.9	1.01487E-4	-0.5	0.115566141
ENSG00000112695	COX7A2	2.5	7.34E-11	-3.0	3.17479E-4
ENSG00000112769	LAMA4	-0.9	0.201607376		
ENSG00000112936	C7	0.5	0.004992122		
ENSG00000112992	NNT	1.0	0.002355362	-2.3	0.004893072
ENSG00000113013	HSPA9	0.2	0.175473407	-0.9	0.005908782
ENSG00000113068	PFDN1	-0.4	3.72E-5	0.2	0.263042347
ENSG00000113368	LMNB1			1.2	0.153752814
ENSG00000113387	SUB1	-0.4	3.93074E-4	0.5	0.104127862
ENSG00000113492	AGXT2	0.1	0.425905475		
ENSG00000113552	GNPDA1	0.5	0.024111509		
ENSG00000113558	SKP1	-0.4	0.026061504	0.5	0.329031685
ENSG00000113600	C9	1.0	0.001458788		
ENSG00000113643	RARS1	-0.7	0.005671137	0.3	0.385308605
ENSG00000113648	MACROH2A1	-0.5	0.024502234		
ENSG00000113790	EHHADH	1.7	2.69454E-4	-0.7	0.064052496
ENSG00000113889	KNG1			1.0	0.046953289
ENSG00000113905	HRG	0.4	0.232724682		
ENSG00000114021	NIT2	1.3	0.004166682	-0.9	0.098412265
ENSG00000114302	PRKAR2A	0.3	0.06182476		
ENSG00000114354	TFG			-0.8	4.48088E-4
ENSG00000114391	RPL24	-0.4	0.064947253		
ENSG00000114480	GBE1	-0.7	2.12E-5		
ENSG00000114779	ABHD14B	1.2	2.79E-7	-1.0	2.55E-6
ENSG00000114805	PLCH1	-1.0	2.92E-10	0.9	0.05657861
ENSG00000114867	EIF4G1	-0.7	9.02356E-4		
ENSG00000115053	NCL	-1.1	4.49E-9		
ENSG00000115073	ACTR1B	0.2	0.200613087	-0.2	0.256114459
ENSG00000115129	TP53I3	-0.1	0.127054911	-0.1	0.21864855
ENSG00000115216	NRBP1	-0.3	0.201478085	0.3	0.435930764
ENSG00000115233	PSMD14	-0.5	1.53E-5	0.1	0.302903594
ENSG00000115268	RPS15			0.3	0.445682634
ENSG00000115286	NDUFS7	0.8	0.015496648		
ENSG00000115310	RTN4	-1.0	0.001349212	0.5	0.259740693
ENSG00000115361	ACADL	-1.0	0.173995782		
ENSG00000115364	MRPL19	-0.2	0.01107336	-0.5	0.001370811
ENSG00000115365	LANCL1	-0.2	0.061962779	0.5	0.175433511
ENSG00000115419	GLS	1.4	2.02E-5	-1.7	0.057476991
ENSG00000115468	EFHD1	-0.8	0.163653087		
ENSG00000115484	CCT4	-0.4	8.87E-6	0.5	0.246149641
ENSG00000115514	TXNDC9	-0.7	0.001032044	-0.2	0.461936217
ENSG00000115541	HSPE1	1.1	2.56E-6	-1.4	7.53E-6
ENSG00000115685	PPP1R7	-0.6	0.010796584	0.3	0.204899809
ENSG00000115756	HPCAL1	-1.7	7.78E-7		
ENSG00000115884	SDC1	1.0	0.00414805	-0.4	0.205351997
ENSG00000115919	KYNU	-0.4	0.101677947		
ENSG00000115946	PNO1	0.5	0.125795603		
ENSG00000116005	PCYOX1	1.2	2.67268E-4		
ENSG00000116096	SPR	0.3	0.08683511	-1.3	0.004628858
ENSG00000116251	RPL22	-0.6	0.001811242		
ENSG00000116266	STXBP3			-0.3	0.0031561
ENSG00000116288	PARK7	0.3	0.054533432	0.3	0.223436759
ENSG00000116455	WDR77			-0.5	0.041508944
ENSG00000116459	ATP5PB	1.3	0.001269433	-1.7	3.27765E-4
ENSG00000116489	CAPZA1	-0.8	3.94E-7	0.7	7.70297E-4
ENSG00000116560	SFPQ	-0.3	0.001600619		
ENSG00000116750	UCHL5			-0.5	0.197475985
ENSG00000116754	SRSF11	-1.0	1.25406E-4	0.5	0.078896319
ENSG00000116791	CRYZ	0.7	0.008987787	-0.6	0.03697466
ENSG00000116863	ADPRS			-0.2	0.305533001
ENSG00000116962	NID1	-0.6	0.016549572		
ENSG00000117054	ACADM	3.0	7.73E-8	-2.6	8.7E-5
ENSG00000117118	SDHB	1.7	1.7E-12	-1.7	0.042371406
ENSG00000117394	SLC2A1			0.6	0.027861698
ENSG00000117450	PRDX1	-0.1	0.339584375	-0.2	0.048769839
ENSG00000117500	TMED5			0.5	0.053587091
ENSG00000117592	PRDX6	0.2	0.028294379		
ENSG00000117691	NENF	-0.3	0.014971552		
ENSG00000117758	STX12	-0.3	0.347379276		
ENSG00000117862	TXNDC12	-0.8	6.14671E-4		
ENSG00000117899	MESD	-0.6	1.4E-6	0.3	0.118826572
ENSG00000117984	CTSD	0.1	0.431679183	-1.7	0.059471904
ENSG00000118137	APOA1			0.9	0.024762976
ENSG00000118271	TTR	0.3	0.483938376	0.4	0.224088248
ENSG00000118418	HMGN3	-0.5	0.033356351	1.8	2.22E-6
ENSG00000118640	VAMP8	-0.2	0.430143112	-0.2	0.271110227
ENSG00000118785	SPP1	-0.3	0.26988735		
ENSG00000118960	HS1BP3	-0.4	5.28896E-4	-0.2	0.485016024
ENSG00000119321	FKBP15	-1.8	0.200125842		
ENSG00000119335	SET	-0.6	5.55905E-4	-0.3	0.11143864
ENSG00000119383	PTPA	0.1	0.309023135	0.1	0.273985845
ENSG00000119421	NDUFA8	1.3	5.54E-6	-0.6	0.293865937
ENSG00000119640	ACYP1			0.6	0.276852322
ENSG00000119689	DLST	1.9	1.92E-10	-2.4	6.6E-8
ENSG00000119707	RBM25	-0.7	0.009497187		
ENSG00000119711	ALDH6A1	3.6	1.8E-9	-2.0	3.95E-6
ENSG00000119723	COQ6	-0.6	1.51E-6	0.3	0.232265783
ENSG00000119812	FAM98A	-0.3	0.271333459		
ENSG00000119865	CNRIP1	-0.6	0.03370568		
ENSG00000120053	GOT1	1.2	3.45535E-4	-0.9	0.003735283
ENSG00000120063	GNA13	-0.4	0.280065979		
